query,api_bm25_ms,api_filter_ms,minilm_ms
software companies,1350.8655808400363,1173.2091940939426,30.107159866020083
healthcare providers,2076.328138122335,1195.6746620126069,25.60614887624979
AI startups in Berlin,2209.5994488336146,1390.9096186980605,36.47958720102906
renewable energy companies in Germany,2705.329031916335,1894.3268777802587,29.83571100048721
companies providing cloud migration services,3303.230328951031,2357.9509740229696,28.848434099927545
B2B SaaS platforms,3055.6754609569907,2420.0448661576957,32.707842998206615
machine learning companies,2489.68757991679,1983.440917916596,26.2883089017123
IoT solution providers,1454.0747732389718,1105.1487401127815,26.4886359218508
enterprise software vendors,3718.3589320629835,3203.9998951368034,25.305937975645065
small consulting firms,4385.159041034058,3972.5152188912034,26.23355994001031
tech companies in Munich,1965.0668348185718,1604.2157639749348,25.49536107107997
manufacturing in Baden-Württemberg,2955.690963892266,2281.709892908111,31.442515086382627
e-commerce platforms,3355.52411316894,2426.0593408253044,28.010790003463626
pharmaceutical companies,1369.2881599999964,1321.3952027726918,24.345404002815485
logistics companies in the US,1333.9747933205217,1746.8990567140281,28.016804018989205
data analytics companies,3092.803770210594,2430.08478009142,27.45872479863465
cybersecurity firms,1209.27147497423,1029.365133261308,31.0162000823766
financial services companies,1550.8702280931175,1170.117441099137,25.406755041331053
retail chains in Europe,3474.811712047085,2870.448260102421,26.83534286916256
construction companies,1460.3366050869226,1211.8766531348228,24.363597854971886
marketing agencies,2482.134185032919,2238.6052957735956,25.636854115873575
human resources software,5232.613146305084,4730.178124969825,27.11883303709328
supply chain management companies,3846.200944855809,3262.702453881502,28.535368153825402
solar panel manufacturers,2754.192560678348,2282.2683351114392,27.99359685741365
agricultural technology companies,2564.58130502142,2269.102377118543,25.657229823991656
electric vehicle manufacturers,3114.938376005739,2767.6664609462023,27.163498103618622
biotech companies,1349.6394497342408,1012.850244762376,29.383706161752343
digital transformation consultants,3077.5382358115166,2721.7177988495678,27.701418148353696
cloud computing providers,2148.4557969961315,1864.4343030173331,24.446846917271614
mobile app development companies,4304.0088068228215,3724.9150490388274,26.725534116849303
web design agencies,4863.471346208826,4381.983957951888,25.73093306273222
SEO companies,1447.338098892942,1190.0938011240214,25.44986316934228
social media marketing agencies,6456.663032993674,6046.460710931569,27.179131051525474
venture capital firms,1841.8256279546767,1472.6442049723119,26.551901130005717
private equity firms,2247.075955150649,1813.3831950835884,26.18273999541998
investment banks,2219.349100952968,1753.0658040195704,25.60048596933484
insurance companies,1277.9464891646057,1111.2368940375745,24.936948902904987
real estate developers,3384.782223030925,3035.620341077447,25.939691113308072
property management companies,3313.653046032414,2946.765498025343,24.79440113529563
hospital management companies,2836.5450529381633,2715.9025678411126,24.523224914446473
medical device manufacturers,2865.416747983545,2703.355301171541,25.7012820802629
telecommunications companies,1290.956184035167,1088.3672470226884,25.44651785865426
internet service providers,1560.9199269674718,1258.2101500593126,25.659478968009353
manufacturing automation companies,2651.4021139591932,2382.3126298375428,24.63578782044351
robotics companies,1338.4832511655986,1091.1003211513162,24.395511019974947
3D printing companies,1250.3521530888975,1122.808333253488,25.84930183365941
packaging companies,1311.6759392432868,1211.2208688631654,25.420010089874268
food processing companies,2952.46676588431,2522.4086090456694,27.99201919697225
beverage companies,1448.276137933135,1132.375753019005,24.583284044638276
mining companies,1371.5557830873877,1105.9859991073608,25.49176709726453
oil and gas companies,2381.7327998112887,1798.7899051513523,25.656656129285693
energy storage companies,3182.085396256298,2711.4545800723135,25.60225804336369
waste management companies,3089.544666232541,2610.3821769356728,26.44637692719698
