query_id,query,domain,name,country,state,nace_code,summary,openai_label,claude_label,your_label
99,vertical farming companies,cultinova.com,Cultinova,United Kingdom,England,"NACE N: Professional, scientific and technical activities","Cultinova provides monitoring, control, and data management solutions for plants and the environment, supporting growers, researchers, and environmental technologists. Their modular CultinovaEDGE™ platform is designed for applications in greenhouses, vertical farms, urban green infrastructure, and open-field agriculture. The company aims to improve plant health and crop yield through advanced environmental sensing and control technologies.",2,1,1
56,defense contractors,mcsuniversal.com,MCS Universal | Military Contract Solutions,United States,Texas,"NACE N: Professional, scientific and technical activities","MCS Universal, Inc. is a service-disabled veteran-owned small business founded in 2010. The company specializes in delivering innovative technologies and subject matter expertise through global supply channels, focusing on areas such as emergency response, safety, energy, environmental protection, personal health, wellness, and advanced sciences. Their mission is to provide solutions mapped to warfighter specifications.",1,2,2
56,defense contractors,governmentcontractswon.com,GovernmentContractsWon.com,United States,California,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","GovernmentContractsWon.com is a website that provides a directory and data on United States defense contracts. It allows users to search for contractors, view contract totals, and access data downloads related to defense spending. The site aims to be a comprehensive resource for information on government procurement in the defense sector.",2,1,1
27,biotech companies,decodeconsultants.com,Decode Consulting LLC,France,Auvergne-Rhône-Alpes,"NACE N: Professional, scientific and technical activities","Decode is a global life science and healthcare advisory firm that partners with biotech and biopharma companies to accelerate innovation and maximize corporate value. They specialize in supporting startups and established companies, particularly in late-stage clinical development and first product launches. Their expertise spans corporate development and the entire product lifecycle, from early strategy and launch planning to post-launch value optimization.",2,1,1
91,investment management firms,jbwere.com,JBWere Limited,Australia,Victoria,NACE L: Financial and insurance activities,"JBWere is a private wealth management company that provides wealth advice, investment advice, philanthropic services, and family advisory to individuals, families, and for-purpose organizations. They focus on protecting and growing wealth for generations, offering advanced portfolio analytics and insights. The company emphasizes a philosophy of delivering consistent risk-adjusted returns and preserving client wealth.",1,2,2
12,manufacturing in Baden-Württemberg,rheinmetall.de,Rheinmetall AG,Italy,Lazio,NACE C: Manufacturing,"Rheinmetall AG is a publicly traded, integrated technology group based in Düsseldorf, Germany. It operates as a leading international systems supplier for the defense industry and a driver of technological innovations in civilian markets. The company focuses on providing security through its technologies and products, aiming for CO2 neutrality by 2035 and emphasizing sustainability in its strategy. Rheinmetall is active across various sectors including land, air, sea, mobility, and digitalization.",0,1,1
82,public relations agencies,thekollectivagency.com.au,The Kollectiv Agency,Australia,New South Wales,"NACE N: Professional, scientific and technical activities","The Kollectiv Agency is a full-service communication and media agency with offices in Dubai and Sydney. They specialize in innovative brand amplification for luxury, fashion, beauty, hospitality, retail, e-commerce, and lifestyle sectors. The agency blends visual media with non-traditional textual content to tell brand stories.",1,2,2
34,venture capital firms,umbrahelion.com,Umbrahelion Corporation,United States,Delaware,NACE L: Financial and insurance activities,"Umbrahelion Capital is a US-based private equity fund that invests in emerging companies across various sectors, including real estate and SaaS. They focus on delivering value to investors through bespoke investments and diversification strategies. The fund actively participates in management, leveraging technical expertise and industry insights to drive growth and create efficient solutions for their portfolio companies, while also focusing on human capital development to build resilient organizations.",1,2,2
82,public relations agencies,pragercreative.com,"Prager Creative, LLC",United States,New York,"NACE N: Professional, scientific and technical activities","Prager Creative is a full-service marketing and advertising agency that helps ambitious brands navigate challenges and achieve success through sound strategy and a collaborative approach. They specialize in creating award-winning campaigns across various sectors, including financial services, healthcare, and retail. Their mission is to maintain total brand perspective and elevate brands to new heights.",2,1,1
91,investment management firms,breakwatermgmt.com,Breakwater Management,United States,California,NACE L: Financial and insurance activities,"Breakwater Management is a private equity firm founded in 2009 and based in Los Angeles. They specialize in control equity investments in emerging businesses within the lower middle market, focusing on Media & Entertainment, Marketing, and Tech-Enabled Services sectors. The firm partners with founders and management teams to accelerate growth through organic expansion and strategic acquisitions, leveraging their partners' extensive operating and investing experience.",1,2,2
