query_id,query,domain,name,country,state,nace_code,summary,openai_label,claude_label,your_label
101,alternative protein manufacturers,leveradvisers.com,"Lever Advisers, LLC",United States,Delaware,"NACE N: Professional, scientific and technical activities","Lever Advisers is a consulting firm specializing in the global alternative protein sector, focusing on acquisitions, company creation, and strategy. They assist large food companies and entrepreneurs in developing and launching alternative protein startups. The firm has guided numerous acquisitions and investments within this niche market.",2,1,1
12,manufacturing in Baden-Württemberg,boll-gmbh.de,Boll Automation,Germany,Bayern,NACE C: Manufacturing,"Boll Automation specializes in delivering customized robotic solutions for the entire value chain, focusing on automation of production processes. They offer expertise in areas such as processing, handling, mobile robotics, and robot vision, providing integrated hardware and software solutions. With over 30 years of experience, they aim to optimize manufacturing processes for precision, safety, and efficiency.",0,1,1
12,manufacturing in Baden-Württemberg,kleinau-regional.de,Kleinau's,Germany,Baden-Württemberg,NACE I: Accommodation and food service activities,"Kleinau's is a family-owned business founded in 1999, operating cafes, bistro-shops, and vending machine lounges in Baden-Württemberg, Germany. They focus on offering fresh, high-quality, and regional products at customer-friendly prices, emphasizing a welcoming atmosphere and individual customer needs. The company prides itself on reliability, hygiene, fair trade, and strong relationships with local suppliers.",1,0,0
12,manufacturing in Baden-Württemberg,kleinau-eberdingen.de,Kleinau's,Germany,Baden-Württemberg,NACE I: Accommodation and food service activities,"Kleinau's is a family-owned business founded in 1999, operating cafes, bistro-shops, and vending machine lounges in Baden-Württemberg, Germany. They focus on offering fresh, high-quality, and regional products at customer-friendly prices, emphasizing a welcoming atmosphere and individual customer needs. The company prides itself on reliability, hygiene, fair trade, and strong relationships with local suppliers.",1,0,0
91,investment management firms,mosaic-global.com,"Mosaic Global Partners, Inc.",United States,Massachusetts,"NACE N: Professional, scientific and technical activities","Mosaic Global Partners, Inc. acts as a business consultant within the institutional asset management market. The company serves as a bridge connecting institutional investors with emerging and often lesser-known investment managers, particularly in alternative assets. They also coach emerging managers to achieve institutional readiness and introduce them to investors, thereby facilitating portfolio diversification and access to alpha-generating potential.",2,1,1
91,investment management firms,mcdavidadvisors.com,McDavid & Company Wealth Management Services,United States,Florida,NACE L: Financial and insurance activities,"McDavid & Company Wealth Management Services is a financial advisory firm that provides a range of information and resources to help clients make informed financial decisions. Their services focus on investing, retirement planning, estate planning, insurance, and wealth preservation, aiming to build client trust and achieve financial goals. The firm offers articles, newsletters, videos, and calculators on their website to educate clients.",1,2,2
66,customer relationship management (CRM) software,gzcmsq.com,贵州财贸双全信息技术有限公司,China,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","贵州财贸双全信息技术有限公司 specializes in providing enterprise management software, particularly ERP (Enterprise Resource Planning) solutions for trade and industry sectors. Their product offerings include inventory management, financial accounting, distribution management, production management, and CRM systems, catering to various industries like hardware, building materials, food, and pharmaceuticals. The company emphasizes customer service and aims to be a cost-effective solution for small and medium-sized enterprises in Guizhou.",1,2,2
66,customer relationship management (CRM) software,bsstar.net,慈溪市商友星(商务星)软件开发工作室,China,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","This company develops and provides cloud-based inventory management systems (进销存云系统) tailored for various industries including apparel, eyewear, mother and baby products, home textiles, cosmetics, and supermarkets. They also offer SCRM customer management systems, AI diagnostic engines, new media operations, and business consulting services. Their mission is to help businesses, particularly retail stores, overcome challenges like lagging growth by leveraging software for data analysis and decision-making, moving beyond simple transaction recording.",1,2,2
34,venture capital firms,bluventureinvestors.com,Blu Ventures,United States,Virginia,NACE L: Financial and insurance activities,"Blu Ventures is a premier cybersecurity investor that manages capital to support founders building market-defining companies in the cybersecurity sector. They focus on innovators creating tools and platforms to safeguard the digital future, from seed to scale, with a particular emphasis on AI-driven solutions. The firm is built by former operators with extensive experience in scaling cybersecurity companies, offering operational and investment expertise, a strong network, and a founder-friendly approach.",1,2,2
14,pharmaceutical companies,kfbiotech.de,KOENIG & FUNK Biotech GmbH,Germany,Berlin,"NACE N: Professional, scientific and technical activities","KOENIG & FUNK Biotech GmbH is a consulting and service provider operating in the pharmaceutical, biotechnology, chemical, human medicine, and environmental technology sectors. The company offers specialized expertise and support to businesses within these industries. Its core mission is to facilitate advancements and provide solutions within its target markets.",2,1,1
99,vertical farming companies,thechiggins.com,CHIGGINS CONSULTANCY,United States,Texas,"NACE N: Professional, scientific and technical activities","Chiggins Consultancy is a global network of professionals offering expertise in commercial horticulture, including greenhouse and vertical farming production, crop advice, substrate management, and LED lighting. They also provide services in international horticulture supply chain management, logistics, sales, and market planning. Additionally, the consultancy assists with business and product development, including sales and marketing strategies, design concepts, and PR.",2,1,1
11,tech companies in Munich,gbinteractive.de,GBinteractive,Germany,Bayern,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","GBinteractive is a full-service online marketing agency based in Munich with over 10 years of experience. They specialize in comprehensive, customized solutions for online success, including web development, web design, video production, SEO, social media marketing, sales optimization, online shops, and marketing automation. Their mission is to increase visibility, interaction, and revenue for their clients through expert online strategies.",1,2,2
15,logistics companies in the US,globalshippingsolution.ca,Global Shipping Solution Inc,Canada,Ontario,NACE H: Transportation and storage,"Global Shipping Solution Inc. is a freight forwarding company specializing in comprehensive logistics services, including air and ocean export/import, cross-border trucking, LTL/FTL, and warehousing. They emphasize customer satisfaction, secure and fast delivery, and global reach with a local presence. The company aims to provide complete control and hassle-free shipping solutions for businesses.",0,1,1
14,pharmaceutical companies,swiftpharma.eu,SwiftPharma BV,Belgium,Vlaanderen,"NACE N: Professional, scientific and technical activities","SwiftPharma BV pioneers in developing sustainable, scalable, and affordable plant-made therapeutic proteins, including vaccines, antibodies, cytokines, and enzymes. They aim to redefine safety and sustainability in biotechnology by utilizing plants as bioreactors, thereby avoiding animal use. The company supports innovation from proof of concept to facility development, focusing on improving human and planet health through advanced biotech solutions.",2,1,1
27,biotech companies,pmgfamilymed.com,Evermed,United States,Texas,NACE R: Human health and social work activities,"Evermed is a fast-growing pharmaceutical company dedicated to developing better health solutions. The company focuses on innovation, teamwork, and integrity across its operations, which include clinical development, regulatory affairs, biotechnology, and functional services. Evermed aims to provide high-quality products and services in areas such as renal care, hospital supplies, and home therapy.",1,2,2
12,manufacturing in Baden-Württemberg,metall-verband.de,Unternehmerverband Metall Baden-Württemberg,Germany,Baden-Württemberg,"NACE N: Professional, scientific and technical activities","The Unternehmerverband Metall Baden-Württemberg (UVM) is an employer association representing approximately 2000 metalworking businesses across 45 guilds in Baden-Württemberg. It provides services such as collective bargaining, public relations, image and recruitment campaigns, vocational training, and advocacy in economic and political spheres. The organization aims to offer its members an informational advantage in a competitive market through collective strength and shared resources.",2,1,1
91,investment management firms,wm-partners.com,WM Partners,United States,Florida,NACE L: Financial and insurance activities,"WM Partners is a private equity firm that invests in and grows lower-middle market companies. They focus on partnering with businesses to drive operational improvements and strategic growth, aiming to create significant value for their portfolio companies and investors. Their investment strategy typically involves acquiring controlling stakes in established businesses with strong market positions and potential for expansion.",1,2,2
56,defense contractors,gcc-intl.com,Global Consolidated Contractors International Ltd. (GCC),Egypt,Al Qahirah,NACE F: Construction,"Global Consolidated Contractors International Ltd. (GCC) is a UK-based turnkey contractor specializing in reconstruction and development initiatives, primarily in the Middle East and Africa. The company focuses on improving living standards in developing communities by undertaking projects in Oil & Gas, Defense & Security, and Infrastructure & Buildings. GCC collaborates with governments, intergovernmental organizations, and state-owned corporations to deliver nationwide reconstruction programs.",1,2,2
27,biotech companies,bio-m.org,BioM,Germany,Bayern,"NACE N: Professional, scientific and technical activities","BioM is the central network organization for medical and biotechnology in Bavaria, Germany, operating for over 25 years. It fosters innovation, growth, and value creation by connecting partners within the Bavarian biotech community. The organization provides a wide range of services including startup coaching, investor networking, internationalization support, and hosts events and provides a database of biotech companies.",2,1,1
